id,status,trait,keyword,option,effect,token
---------,------,----,----,----,-,-------(Leaders)
100000000,0/0/20,none,none,none,0,none
100010000,0/0/20,none,none,none,0,none
100020000,0/0/20,none,none,none,0,none
100030000,0/0/20,none,none,none,0,none
100040000,0/0/20,none,none,none,0,none
100050000,0/0/20,none,none,none,0,none
100060000,0/0/20,none,none,none,0,none
100070000,0/0/20,none,none,none,0,none
100080000,0/0/20,none,none,none,0,none
---------,------,----,----,----,-,-------(Pack 100 / Normal)
110001101,1/1/2,none,none,none,0,none
110001102,3/2/3,none,7,none,1001,none
110001201,2/0/0,none,none,none,1005,none
110001202,4/0/0,none,none,none,1006,none
110001203,5/0/0,none,none,none,1007/1008,none
110001204,7/0/0,none,none,none,1009,none
110003101,4/3/3,none,7,none,1002,none
110003102,5/1/5,none,7,none,1003/1004,none
---Elf---,-----,----,----,----,-,-------
110011101,1/1/1,none,8,none,1010,910011101
110011102,1/1/1,none,7,none,1011,none
110011103,2/2/1,none,7/12,none,1012,none
110011104,4/3/4,none,none,none,1013,none
110011105,4/3/2,none,4/7,none,4/1014,910011101
110011201,1/0/0,none,none,none,1015,910011101
110011202,1/0/0,none,none,none,1016/1017,none
110011203,2/0/0,none,none,none,1018/1019,910011101
110012101,4/3/4,none,11,none,1020,910011101
110012102,8/5/6,none,7,none,1022,none
110012201,2/0/0,none,12,none,1023/1024,910011101
910011101,1/1/1,none,none,none,0,none
--Royal--,-----,----,----,----,-,-------
110021101,1/1/1,1,1,none,1,none
110021102,2/1/1,1,7,none,1025,910021101
110021103,2/2/2,1,2,none,2,none
110021104,3/2/2,1,1,none,1,none
110021105,5/3/2,1,5/7,none,5/1026,910021105
110021106,8/7/7,2,7/9,none,1027/1028,none
110021201,1/0/0,none,none,none,1029/1030,none
110021202,3/0/0,none,13,none,1031/1032,none
110022101,2/1/1,1,7,none,1033,none
110022102,4/3/4,1,11,none,1034,910021104/910021101
110022201,2/0/0,none,none,none,1035/1036,none
910021101,1/1/1,1,none,none,0,none
910021102,1/1/2,1,none,none,0,none
910021103,1/1/1,1,2,none,2,none
910021104,2/2/2,1,none,none,0,none
910021105,2/2/1,1,5,none,5,none
--Witch--,-----,----,----,----,-,-------
110031101,4/4/3,5,7/20,none,1037,none
110031102,6/2/2,none,1/14,none,1/1038,none
110031201,2/0/0,none,none,none,1039/1040,none
110031202,2/0/0,none,none,none,1041,910031102
110031203,2/0/0,none,14,none,1042,none
110031204,8/0/0,none,14,none,1043/1044,none
110031301,1/0/0,3,8,none,1045,none
110031302,2/0/0,3,7,none,1046,none
110032101,10/7/7,none,14,none,1047,none
110032201,1/0/0,none,none,none,1048,910031301
110032202,3/0/0,none,none,none,1049/1050,none
910031101,1/1/1,none,none,none,0,none
910031102,2/2/2,5,none,none,0,none
910031103,4/3/3,5,2,none,2,none
910031301,1/0/0,3,none,none,0,none
-Dragon--,-----,----,----,----,-,-------
110041101,1/1/2,none,7/15,none,1051,none
110041102,2/2/1,none,7/15,none,1052,none
110041103,3/1/1,none,7,none,1054,910041102
110041104,5/4/4,none,7/15,none,1055,none
110041105,6/5/6,none,7/15,none,1056,none
110041201,1/0/0,none,none,none,1057,none
110041202,2/0/0,none,none,none,1058,none
110041301,1/0/0,none,15,none,1059/1060/1061,none
110042101,3/2/1,none,7/21/22,none,22/1066/1067,none
110042201,5/0/0,none,none,none,1063/1064/1065,none
110042301,7/0/0,none,18,countdown=3,1062,910041103
910041101,1/1/1,none,8,none,1053,none
910041102,2/2/2,none,none,none,0,none
910041103,5/5/5,none,none,none,0,none
910041104,6/5/5,none,1,none,1,none
910041105,2/4/3,none,4,none,4,none
--Necro--,-----,----,----,----,-,-------
110051101,1/1/2,none,8,none,1068,none
110051102,2/1/2,none,8,none,1069,none
110051103,2/1/2,none,7,none,1070/1071,none
110051104,2/2/1,none,7/23,none,1072,none
110051105,3/3/2,none,8,none,1074,none
110051201,2/0/0,none,21,none,1076/1077,910051103
110051202,2/0/0,none,21/24,none,1078/1079,none
110051203,4/0/0,none,16,none,1080/1081,910051104
110052101,3/1/1,none,8,none,1082,910051102
110052102,4/1/1,none,8,none,1083,910051104
110052103,4/3/3,none,7,none,1084/1085,none
910051101,1/1/1,none,1,leaveVanish=1,1/1075,none
910051102,1/1/1,none,none,none,0,none
910051103,2/2/2,none,none,none,0,none
910051104,4/4/4,none,none,none,0,none
-Vampire-,-----,----,----,----,-,-------
110061101,1/1/2,none,7,none,1086,none
110061102,3/2/1,none,7,none,1087,910061101
110061103,3/3/2,none,2/8,none,2/1088,none
110061104,4/4/3,none,7/17,none,1089,none
110061105,6/3/6,none,1,none,1,none
110061201,2/0/0,none,none,none,1090/1091,none
110061202,2/0/0,none,none,none,1092/1093,none
110061203,2/0/0,none,none,none,1094,910061101
110062101,3/1/4,none,7,none,1095,910061101
110062102,3/2/3,none,11,none,1096,none
110062201,2/0/0,none,none,none,1097/1098,none
910061101,1/1/1,none,none,none,0,none
910061102,1/3/3,none,none,none,0,none
-Bishop--,-----,----,----,----,-,-------
110071101,2/1/3,none,2,none,2,none
110071102,2/2/1,none,7,none,1099,none
110071103,3/3/2,none,7,none,1100,none
110071201,2/0/0,none,none,none,1101/1102,none
110071202,2/0/0,none,none,none,1103,none
110071203,2/0/0,none,none,none,1104/1105,none
110071204,5/0/0,none,none,none,1106,none
110071301,1/0/0,none,18,countdown=3,1108,none
110072101,3/2/2,none,7,none,1109,none
110072102,4/3/4,none,11,none,1110,none
110072301,2/0/0,none,18,countdown=3,1111,910071102/910071104
910071101,5/5/3,none,none,none,0,none
910071102,4/4/4,none,none,none,0,none
910071103,6/6/6,none,none,none,0,none
910071104,3/2/1,none,1,none,1,none
910071105,5/3/4,none,1,none,1,none
910071106,5/3/5,none,4,none,4,none
910071107,4/3/5,none,none,none,0,none
910071108,3/3/2,none,2/25,none,2/25,none
910071109,6/5/4,none,2/25,none,2/25,none
-Nemesis-,-----,----,----,----,-,-------
110081101,2/2/2,none,7,none,1118,910081103
110081102,2/2/2,none,7/21,none,1119/1120,910081101
110081103,3/3/2,none,4/7,none,4/1121,910081104
110081104,3/2/3,none,2/7,none,2/1122,910081105
110081105,3/1/2,none,7/8,none,1123/1124,910081101
110081106,4/4/3,none,7,none,1125,910081106
110081201,2/0/0,none,19,none,1126/1127,none
110081301,3/0/0,none,7/8/18/19,countdown=3,1128/1129/1130/1131,none
110082101,2/2/2,none,7/11,none,1132/1133,910081104
110082102,3/2/3,none,7,none,1134,none
110082201,1/0/0,none,none,none,1135/1136,910081103
910081101,0/1/1,none,4,none,4/1112,none
910081102,1/3/3,none,4,nameId=910081101,4/1113,none
910081103,1/2/1,4,8,none,1114,none
910081104,1/3/1,4,4,none,4,none
910081105,3/2/3,4,2/7,none,2/1115,none
910081106,5/4/3,4,1/8,none,1/1116/1117,none
---------,------,----,----,----,-,-------(Pack 100 / Evolved)
110001901,1/3/4,none,none,none,0,none
110001902,3/4/5,none,7,none,0,none
110003901,4/5/5,none,7,none,0,none
110003902,5/3/7,none,7,none,1004,none
---Elf---,-----,----,----,----,-,-------
110011901,1/3/3,none,8,none,1010,910011101
110011902,1/3/3,none,7,none,0,none
110011903,2/4/3,none,7/12,none,0,none
110011904,4/5/6,none,none,none,1013,none
110011905,4/5/4,none,4/7,none,4,910011101
110012901,4/4/5,none,11,none,1020,910011101
110012902,8/7/8,none,7,none,0,none
910011901,1/3/3,none,none,none,0,none
--Royal--,-----,----,----,----,-,-------
110021901,1/3/3,1,1,none,1,none
110021902,2/3/3,1,7,none,0,910021101
110021903,2/4/4,1,2,none,2,none
110021904,3/4/4,1,1,none,1,none
110021905,5/5/4,1,5/7,none,5,910021105
110021906,8/9/9,2,7/9,none,1028,none
110022901,2/3/3,1,7,none,0,none
110022902,4/4/5,1,11,none,1034,910021104/910021101
910021901,1/3/3,1,none,none,0,none
910021902,1/3/4,1,none,none,0,none
910021903,1/3/3,1,2,none,2,none
910021904,2/4/4,1,none,none,0,none
910021905,2/4/3,1,5,none,5,none
--Witch--,-----,----,----,----,-,-------
110031901,4/6/5,5,7/20,none,0,none
110031902,6/4/4,none,1/14,none,1,none
110032901,10/9/9,none,14,none,0,none
910031901,1/3/3,none,none,none,0,none
910031902,2/4/4,5,none,none,0,none
910031903,4/5/5,5,2,none,2,none
-Dragon--,-----,----,----,----,-,-------
110041901,1/3/4,none,7/15,none,0,none
110041902,2/4/3,none,7/15,none,0,none
110041903,3/3/3,none,7,none,0,910041102
110041904,5/6/6,none,7/15,none,0,none
110041905,6/7/8,none,7/15,none,0,none
110042901,3/4/3,none,7/21/22,none,22,none
910041901,1/3/3,none,8,none,1053,none
910041902,2/4/4,none,none,none,0,none
910041903,5/7/7,none,none,none,0,none
910041904,6/7/7,none,1,none,1,none
910041905,2/6/5,none,4,none,4,none
--Necro--,-----,----,----,----,-,-------
110051901,1/3/4,none,8,none,1068,none
110051902,2/3/4,none,8,none,1069,none
110051903,2/3/4,none,7,none,0,none
110051904,2/4/3,none,7/23,none,0,none
110051905,3/5/4,none,8,none,1074,none
110052901,3/3/3,none,8,none,1082,910051102
110052902,4/3/3,none,8,none,1083,910051104
110052903,4/5/5,none,7,none,0,none
910051901,1/3/3,none,1,none,1/1075,none
910051902,1/3/3,none,none,none,0,none
910051903,2/4/4,none,none,none,0,none
910051904,4/6/6,none,none,none,0,none
-Vampire-,-----,----,----,----,-,-------
110061901,1/3/4,none,7,none,0,none
110061902,3/4/3,none,7,none,0,910061101
110061903,3/5/4,none,2/8,none,2/1088,none
110061904,4/6/5,none,7/17,none,0,none
110061905,6/5/8,none,1,none,1,none
110062901,3/3/6,none,7,none,0,910061101
110062902,3/3/4,none,11,none,1096,none
910061901,1/3/3,none,none,none,0,none
910061902,1/3/3,none,none,none,0,none
-Bishop--,-----,----,----,----,-,-------
110071901,2/3/5,none,2,none,2,none
110071902,2/4/3,none,7,none,0,none
110071903,3/5/4,none,7,none,0,none
110072901,3/4/4,none,7,none,0,none
110072902,4/4/5,none,11,none,1110,none
910071901,5/5/3,none,none,none,0,none
910071902,4/6/6,none,none,none,0,none
910071903,6/8/8,none,none,none,0,none
910071904,3/4/3,none,1,none,1,none
910071905,5/5/6,none,1,none,1,none
910071906,5/5/7,none,4,none,4,none
910071907,4/5/7,none,none,none,0,none
910071908,3/5/4,none,2/25,none,2/25,none
910071909,6/7/6,none,2/25,none,2/25,none
-Nemesis-,-----,----,----,----,-,-------
110081901,2/4/4,none,7,none,0,910081103
110081902,2/4/4,none,7/21,none,0,910081101
110081903,3/5/4,none,4/7,none,4,910081104
110081904,3/4/5,none,2/7,none,2,910081105
110081905,3/3/4,none,7/8,none,1124,910081101
110081906,4/6/5,none,7,none,0,910081106
110082901,2/4/4,none,7/11,none,1133,910081104
110082902,3/4/5,none,7,none,0,none
910081901,0/3/3,none,4,none,4/1112,none
910081902,1/5/5,none,4,nameId=910081901,4/1113,none
910081903,1/4/3,4,8,none,1114,none
910081904,1/5/3,4,4,none,4,none
910081905,3/4/5,4,2/7,none,2,none
910081906,5/6/5,4,1/8,none,1/1116/1117,none
---------,------,----,----,----,-,-------(Pack 101 / Normal)
110101101,2/2/1,none,2/7/21,none,2/1138,none
110101102,4/3/4,none,11,none,1139,none
110101103,5/4/4,none,none,none,1140,none
110101104,7/5/7,none,9,none,1141,none
110101201,1/0/0,none,none,none,1142,none
110101202,2/0/0,none,none,none,1144,110001101
110101301,2/0/0,none,7,none,1146/1147,none
110102101,2/2/2,none,11,none,1148/1149/1150,none
110102102,3/2/2,none,5/7,none,5/1151,none
110102103,4/3/3,none,7,none,1152,none
110102104,7/6/6,none,7,none,1155/1156,none
110102105,10/6/10,none,2/7/26,none,2/1158/1159,810102201
110102201,5/0/0,none,none,none,1160,none
110102202,5/0/0,none,none,none,1163,none
110102301,2/0/0,none,7/8/18,countdown=2,1164/1166/1167,none
110103101,3/2/2,none,7/28,none,1168,none
110103102,6/4/4,none,11,evolveCost=0,1169,none
110103103,8/6/7,none,8/25,none,25/1173/1174,none
110103104,9/6/6,none,7,none,1175,none
110103201,3/0/0,none,none,none,1176,none
110103301,1/0/0,none,7/8/18,countdown=2,1180/1181,910103101/910103102
110104101,1/1/2,none,7,nameId=110001101,1189/1190,none
110104102,4/4/4,none,11,none,1191/1192,none
110104103,7/6/6,none,2/4/7/26,none,2/4/1193/1194,810104201/910104301/910104302
510101201,0/0/0,none,28,none,-1/-2/-3,none
510103201,0/0/0,none,28,none,-4/-5/-6,none
810102201,3/0/0,none,none,artId=110102105,1157,110001101
810104201,2/0/0,none,none,artId=110104103,1199,910104301/910104302
910103101,3/2/3,6,2/7,none,2/1182/1183/1184/1185,none
910103102,3/3/2,7,4/7,none,4/1186/1187/1188,none
910104301,2/0/0,none,none,none,1195/1196,none
910104302,2/0/0,none,none,none,1197/1198,none
---------,------,----,----,----,-,-------(Pack 101 / Evolve)
110101901,2/4/3,none,2/7/21,none,2,none
110101902,4/4/5,none,11,none,1139,none
110101903,5/6/6,none,none,none,1140,none
110101904,7/5/7,none,9,none,1141,none
110102901,2/4/4,none,11,none,1148/1149/1150,none
110102902,3/4/4,none,5/7,none,5,none
110102903,4/5/5,none,7,none,0,none
110102904,7/8/8,none,7,none,0,none
110102905,10/8/12,none,2/7/26,none,2,none
110103901,3/4/4,none,7/28,none,0,none
110103902,6/4/4,none,11,none,1169,none
110103903,8/8/9,none,8/25,none,25/1173/1174,none
110103904,9/8/8,none,7,none,0,none
110104901,1/3/4,none,7,nameId=110001901,0,none
110104902,4/4/4,none,11,none,1191/1192,none
110104903,7/8/8,none,2/4/7/26,none,2/4,810104201/910104301/910104302
910103901,3/4/5,6,2/7,none,2,none
910103902,3/5/4,7,4/7,none,4,none